,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
97,12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,1986-01-31 00:00:00,104,5.9,Robin Williams,5523,Ron Shelton,1986,0,-0.35075575,-40
98,2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,1987-03-13 00:00:00,98,5.7,Todd Allen,4744,Kevin Tenney,1986,1,2.6846865,270
99,14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,1986-01-31 00:00:00,103,6.1,Nick Nolte,13569,René Fauchois,1986,1,3.4381589285714287,340
100,8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,1986-02-07 00:00:00,136,7.2,Helena Bonham Carter,5364,Chris Bryant,1986,0,-0.9673357647058823,-100
104,18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,1986-04-25 00:00:00,115,5.7,Jeff Bridges,3607,Lawrence Block,1986,0,-0.9274936666666667,-90
111,8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,1986-11-21 00:00:00,104,5.0,Chuck Norris,4752,Robert Gosnell,1986,1,0.47928775,50
113,3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,1986-07-18 00:00:00,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986,1,0.4973081818181818,50
117,15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,1986-07-11 00:00:00,96,4.9,Robin Williams,5049,Harry Shearer,1986,0,-0.17943193333333332,-20
118,40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,1986-06-20 00:00:00,116,5.9,Robert Redford,8374,Ivan Reitman,1986,1,0.246289775,20
121,13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,1986-04-18 00:00:00,100,5.6,Danny DeVito,4573,George Gallo,1986,0,-0.3480410769230769,-30
126,17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,1986-08-29 00:00:00,97,3.1,Sean Penn,4339,John Kohn,1986,0,-0.8637833529411765,-90
127,16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,1986-01-31 00:00:00,111,5.7,Richard Gere,2287,David Himmelstein,1986,0,-0.7625,-80
129,20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,1987-01-23 00:00:00,105,6.4,Diane Keaton,3079,Beth Henley,1986,1,0.145275,10
133,6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,1986-04-18 00:00:00,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986,1,0.6579385,70
139,4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,1986-09-12 00:00:00,104,5.9,Michael Dudikoff,1808,James Booth,1986,1,0.1699125,20
145,18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,1986-12-25 00:00:00,108,6.9,Blythe Danner,2720,Neil Simon,1986,0,-0.33566983333333333,-30
157,25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,1986-11-07 00:00:00,127,5.5,Bryan Brown,1340,John Briley,1986,0,-0.83971,-80
159,17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,1987-03-13 00:00:00,101,5.5,Burt Reynolds,1358,William Goldman,1986,0,-0.835693294117647,-80
