,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
3853,18000000,Twentieth Century Fox Film Corporation,USA,Shawn Levy,Comedy,56127162,Just Married,PG-13,2003-01-10 00:00:00,95,5.4,Ashton Kutcher,60573,Sam Harper,2003,1,2.1181756666666667,210
3854,50000000,Touchstone Pictures,USA,David Dobkin,Action,60476872,Shanghai Knights,PG-13,2003-02-07 00:00:00,114,6.2,Jackie Chan,87352,Alfred Gough,2003,1,0.20953744,20
3855,45000000,Metro-Goldwyn-Mayer (MGM),USA,Charles Herman-Wurmfeld,Comedy,90186328,"Legally Blonde 2: Red, White & Blonde",PG-13,2003-07-02 00:00:00,95,4.7,Reese Witherspoon,50536,Amanda Brown,2003,1,1.0041406222222222,100
3856,87000000,Universal Pictures,USA,Gary Ross,Drama,120277854,Seabiscuit,PG-13,2003-07-25 00:00:00,140,7.3,Tobey Maguire,59979,Laura Hillenbrand,2003,1,0.38250406896551725,40
3857,20000000,Metro-Goldwyn-Mayer (MGM),USA,Boaz Yakin,Comedy,36922190,Uptown Girls,PG-13,2003-08-15 00:00:00,92,6.1,Brittany Murphy,30845,Julia Dahl,2003,1,0.8461095,80
3861,500000,SenArt Films,USA,Tom McCarthy,Comedy,5739376,The Station Agent,R,2003-12-05 00:00:00,89,7.7,Peter Dinklage,61005,Tom McCarthy,2003,1,10.478752,1050
3862,7000000,Boll Kino Beteiligungs GmbH & Co. KG,Germany,Uwe Boll,Action,10249719,House of the Dead,R,2003-10-10 00:00:00,90,2.0,Jonathan Cherry,33277,Mark A. Altman,2003,1,0.4642455714285714,50
3863,30000000,Warner Bros.,USA,Andrzej Bartkowiak,Action,34604054,Cradle 2 the Grave,R,2003-02-28 00:00:00,101,5.8,Jet Li,36878,John O'Brien,2003,1,0.15346846666666666,20
3866,35000000,Revolution Studios,USA,Michael Tollin,Biography,52277485,Radio,PG,2003-10-24 00:00:00,109,6.9,Cuba Gooding Jr.,33842,Mike Rich,2003,1,0.4936424285714286,50
3868,41000000,Emperor Multimedia Group (EMG),Hong Kong,Gordon Chan,Action,22108977,The Medallion,PG-13,2003-08-22 00:00:00,88,5.2,Jackie Chan,32750,Alfred Cheung,2003,0,-0.4607566585365854,-50
3870,56000000,Turner Pictures (I),USA,Ron Maxwell,Biography,12870569,Gods and Generals,PG-13,2003-02-21 00:00:00,219,6.3,Stephen Lang,13829,Jeff Shaara,2003,0,-0.7701684107142858,-80
3872,6000000,Lions Gate Films,USA,Billy Ray,Drama,2220008,Shattered Glass,PG-13,2003-11-26 00:00:00,94,7.2,Hayden Christensen,30173,Buzz Bissinger,2003,0,-0.6299986666666667,-60
3873,20000000,Metro-Goldwyn-Mayer (MGM),USA,Chris Koch,Comedy,15408822,A Guy Thing,PG-13,2003-01-17 00:00:00,101,5.6,Jason Lee,14915,Greg Glienna,2003,0,-0.2295589,-20
3875,22000000,New Line Cinema,Canada,Glen Morgan,Drama,6886089,Willard,PG-13,2003-03-14 00:00:00,100,6.2,Crispin Glover,15832,Glen Morgan,2003,0,-0.6869959545454546,-70
3878,12000000,19 Entertainment,USA,Robert Iscove,Comedy,4922166,From Justin to Kelly,PG,2003-06-20 00:00:00,81,2.1,Kelly Clarkson,23990,Kim Fuller,2003,0,-0.5898195,-60
3879,5000000,World of Wonder,USA,Fenton Bailey,Biography,728253,Party Monster,R,2003-10-17 00:00:00,98,6.3,Macaulay Culkin,13310,Fenton Bailey,2003,0,-0.8543494,-90
3880,18000000,DreamWorks,USA,Woody Allen,Comedy,3203044,Anything Else,R,2003-09-19 00:00:00,108,6.4,Woody Allen,26603,Woody Allen,2003,0,-0.8220531111111111,-80
3881,52000000,Metro-Goldwyn-Mayer (MGM),USA,Paul Hunter,Action,23020488,Bulletproof Monk,PG-13,2003-04-16 00:00:00,104,5.5,Yun-Fat Chow,43940,Ethan Reiff,2003,0,-0.5572983076923077,-60
3885,40000000,Franchise Pictures,USA,Andrew Fleming,Action,20440627,The In-Laws,PG-13,2003-05-23 00:00:00,100,5.7,Albert Brooks,14598,Andrew Bergman,2003,0,-0.488984325,-50
3886,25000000,Klasky-Csupo,USA,John Eng,Animation,39399750,Rugrats Go Wild,PG,2003-06-13 00:00:00,100,5.6,Jodi Carlisle,6205,Kate Boutilier,2003,1,0.57599,60
3887,35200000,DreamWorks,USA,Chris Rock,Comedy,37788228,Head of State,PG-13,2003-03-28 00:00:00,95,5.4,Chris Rock,15690,Chris Rock,2003,1,0.07352920454545454,10
3888,9500000,Les Armateurs,France,Sylvain Chomet,Animation,7002255,The Triplets of Belleville,PG-13,2004-02-13 00:00:00,80,7.8,Michèle Caucheteux,44860,Sylvain Chomet,2003,0,-0.2629205263157895,-30
3889,17000000,Paramount Pictures,USA,Sam Weisman,Comedy,22734486,Dickie Roberts: Former Child Star,PG-13,2003-09-05 00:00:00,98,5.6,David Spade,12287,Fred Wolf,2003,1,0.33732270588235297,30
3891,2500000,Jasmine Productions Inc.,USA,David Gordon Green,Drama,548712,All the Real Girls,R,2003-08-01 00:00:00,108,6.9,Zooey Deschanel,9474,David Gordon Green,2003,0,-0.7805152,-80
3892,40000000,Miramax,Germany,Danny DeVito,Comedy,9692135,Duplex,PG-13,2003-09-26 00:00:00,89,5.9,Ben Stiller,48829,Larry Doyle,2003,0,-0.757696625,-80
3893,780000,Go Films,USA,Ryan Little,Action,1310470,Saints and Soldiers,PG-13,2005-03-25 00:00:00,90,6.8,Corbin Allred,18516,Geoffrey Panos,2003,1,0.6800897435897436,70
3895,10000000,Touchstone Pictures,UK,Nigel Cole,Comedy,31041759,Calendar Girls,PG-13,2004-01-01 00:00:00,108,6.9,Helen Mirren,20538,Juliette Towhidi,2003,1,2.1041759,210
3896,8000000,British Broadcasting Corporation (BBC),UK,Tim Fywell,Drama,1174139,I Capture the Castle,R,2003-08-08 00:00:00,113,7.1,Romola Garai,6060,Dodie Smith,2003,0,-0.853232625,-90
3899,15000000,Lions Gate Films,USA,James Foley,Crime,12212417,Confidence,R,2003-04-25 00:00:00,97,6.7,Edward Burns,31315,Doug Jung,2003,0,-0.18583886666666666,-20
3900,3200000,ContentFilm,USA,Wayne Kramer,Crime,8243880,The Cooler,R,2004-01-16 00:00:00,101,7.0,William H. Macy,29549,Frank Hannah,2003,1,1.5762125,160
3906,17000000,Touchstone Pictures,Ireland,Joel Schumacher,Biography,1571504,Veronica Guerin,R,2003-10-17 00:00:00,98,6.9,Cate Blanchett,17055,Carol Doyle,2003,0,-0.9075585882352941,-90
3907,4000000,Mepris Films,USA,Neil LaBute,Comedy,732241,The Shape of Things,R,2003-05-16 00:00:00,96,6.7,Paul Rudd,10052,Neil LaBute,2003,0,-0.81693975,-80
3909,300000,United Artists,USA,Peter Hedges,Comedy,2528664,Pieces of April,PG-13,2003-11-28 00:00:00,80,7.1,Katie Holmes,18540,Peter Hedges,2003,1,7.42888,740
3910,850000,Funny Boy Films,USA,C. Jay Cox,Comedy,819939,Latter Days,R,2004-07-01 00:00:00,107,7.1,Wes Ramsey,15271,C. Jay Cox,2003,0,-0.03536588235294118,0
3912,14000000,Dimension Films,USA,David Zucker,Comedy,15550605,My Boss's Daughter,PG-13,2003-08-22 00:00:00,86,4.7,Ashton Kutcher,25363,David Dorfman,2003,1,0.1107575,10
3913,16000000,Focus Features,USA,Clare Kilner,Comedy,14108518,How to Deal,PG-13,2003-07-18 00:00:00,100,5.6,Mandy Moore,8473,Sarah Dessen,2003,0,-0.118217625,-10
3916,20000000,Disney Television Animation,USA,Steve Trenbirth,Animation,47887943,The Jungle Book 2,G,2003-02-14 00:00:00,72,5.4,John Goodman,12558,Karl Geurs,2003,1,1.39439715,140
3918,8000000,Icon Productions,USA,Keith Gordon,Comedy,336456,The Singing Detective,R,2003-11-14 00:00:00,109,5.6,Robert Downey Jr.,7414,Dennis Potter,2003,0,-0.957943,-100
3920,17000000,Metro-Goldwyn-Mayer (MGM),USA,John Hoffman,Comedy,37566230,Good Boy!,PG,2003-10-10 00:00:00,100,5.1,Liam Aiken,3591,Zeke Richardson,2003,1,1.2097782352941175,120
3924,15000000,Paramount Pictures,USA,Jonathan Lynn,Comedy,30238577,The Fighting Temptations,PG-13,2003-09-19 00:00:00,123,5.5,Cuba Gooding Jr.,6052,Elizabeth Hunter,2003,1,1.0159051333333333,100
3928,5000000,Brown Sauce Film Productions,Ireland,John Crowley,Comedy,896993,Intermission,R,2004-04-16 00:00:00,105,6.9,Cillian Murphy,14096,Mark O'Rowe,2003,0,-0.8206014,-80
3929,7500000,British Broadcasting Corporation (BBC),UK,Michael Winterbottom,Drama,197148,Code 46,R,2004-09-17 00:00:00,93,6.2,Tim Robbins,18738,Frank Cottrell Boyce,2003,0,-0.9737136,-100
3933,6800000,Cobalt Media Group,USA,Damian Nieman,Crime,33225,Shade,R,2004-05-09 00:00:00,101,6.4,Joe Nicolo,11130,Damian Nieman,2003,0,-0.9951139705882353,-100
3936,15000000,Sony Pictures Classics,Germany,Robert Altman,Drama,2281585,The Company,PG-13,2004-05-20 00:00:00,112,6.4,Neve Campbell,5757,Neve Campbell,2003,0,-0.8478943333333333,-80
3940,30000000,Epsilon Motion Pictures,USA,Rob Reiner,Comedy,14208384,Alex & Emma,PG-13,2003-06-20 00:00:00,100,5.6,Luke Wilson,11953,Jeremy Leven,2003,0,-0.5263872,-50
3941,5740000,Australian Film Finance Corporation (AFFC),Australia,Sue Brooks,Drama,647054,Japanese Story,R,2003-09-25 00:00:00,105,6.7,Toni Collette,5814,Alison Tilson,2003,0,-0.8872728222996515,-90
3942,15000000,ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I),Canada,Bronwen Hughes,Action,19067,Stander,R,2003-10-10 00:00:00,116,7.2,Thomas Jane,7443,Bima Stagg,2003,0,-0.9987288666666667,-100
3943,10000000,Alliance Atlantis Communications,Canada,Richard Kwietniowski,Crime,1011054,Owning Mahowny,R,2003-09-25 00:00:00,104,7.1,Philip Seymour Hoffman,11120,Gary Stephen Ross,2003,0,-0.8988946,-90
3947,20000,Professor Bright Films,USA,Ben Coccio,Drama,7221,Zero Day,UNRATED,2004-01-23 00:00:00,92,7.3,Cal Robertson,3594,Ben Coccio,2003,0,-0.63895,-60
3958,1000000,LivePlanet,USA,Efram Potelle,Drama,279282,The Battle of Shaker Heights,PG-13,2003-08-22 00:00:00,100,6.1,Shia LaBeouf,3926,Erica Beeney,2003,0,-0.720718,-70
3960,29000000,New Line Cinema,USA,Nick Cassavetes,Drama,81001787,The Notebook,PG-13,2004-06-25 00:00:00,123,7.9,Gena Rowlands,430711,Jeremy Leven,2004,1,1.7931650689655172,180
3961,1200000,Evolution Entertainment,USA,James Wan,Horror,56000369,Saw,R,2004-10-29 00:00:00,103,7.7,Cary Elwes,322727,Leigh Whannell,2004,1,45.66697416666667,4570
3962,175000000,Warner Bros.,USA,Wolfgang Petersen,Drama,133378256,Troy,R,2004-05-14 00:00:00,163,7.2,Brad Pitt,414038,Homer,2004,0,-0.23783853714285713,-20
3963,60000000,Touchstone Pictures,USA,M. Night Shyamalan,Drama,114197520,The Village,PG-13,2004-07-30 00:00:00,108,6.5,Sigourney Weaver,209350,M. Night Shyamalan,2004,1,0.903292,90
3964,66000000,Revolution Studios,USA,Guillermo del Toro,Action,59623958,Hellboy,PG-13,2004-04-02 00:00:00,122,6.8,Ron Perlman,261530,Guillermo del Toro,2004,0,-0.09660669696969697,-10
3965,17000000,Paramount Pictures,USA,Mark Waters,Comedy,86058055,Mean Girls,PG-13,2004-04-30 00:00:00,97,7.0,Lindsay Lohan,270476,Rosalind Wiseman,2004,1,4.062238529411765,409
3966,130000000,Warner Bros.,UK,Alfonso Cuarón,Adventure,249358727,Harry Potter and the Prisoner of Azkaban,PG,2004-06-04 00:00:00,142,7.8,Daniel Radcliffe,427343,J.K. Rowling,2004,1,0.9181440538461538,90
3967,92000000,Pixar Animation Studios,USA,Brad Bird,Animation,261441092,The Incredibles,PG,2004-11-05 00:00:00,115,8.0,Craig T. Nelson,520926,Brad Bird,2004,1,1.841751,180
3968,20000000,Focus Features,USA,Michel Gondry,Drama,34400301,Eternal Sunshine of the Spotless Mind,R,2004-03-19 00:00:00,108,8.3,Jim Carrey,736127,Charlie Kaufman,2004,1,0.72001505,70
3969,125000000,Twentieth Century Fox Film Corporation,USA,Roland Emmerich,Action,186740799,The Day After Tomorrow,PG-13,2004-05-28 00:00:00,124,6.4,Dennis Quaid,356977,Roland Emmerich,2004,1,0.493926392,50
3970,30000000,Miramax,USA,Quentin Tarantino,Action,66208183,Kill Bill: Vol. 2,R,2004-04-16 00:00:00,137,8.0,Uma Thurman,555508,Quentin Tarantino,2004,1,1.2069394333333334,120
3971,33000000,Lions Gate Films,USA,Jonathan Hensleigh,Action,33682273,The Punisher,R,2004-04-16 00:00:00,124,6.5,Thomas Jane,132115,Jonathan Hensleigh,2004,1,0.020674939393939395,0
3972,25000000,DreamWorks,USA,Jeff Schaffer,Comedy,17718223,EuroTrip,R,2004-02-20 00:00:00,93,6.6,Scott Mechlowicz,171296,Alec Berg,2004,0,-0.29127108,-30
3974,160000000,Universal Pictures,USA,Stephen Sommers,Action,120177084,Van Helsing,PG-13,2004-05-07 00:00:00,131,6.0,Hugh Jackman,211483,Stephen Sommers,2004,0,-0.248893225,-20
3975,70000000,Warner Bros.,UK,Joel Schumacher,Drama,51268815,The Phantom of the Opera,PG-13,2004-12-22 00:00:00,143,7.3,Gerard Butler,102339,Gaston Leroux,2004,0,-0.26758835714285717,-30
3976,25000000,Regency Enterprises,USA,Luke Greenfield,Comedy,14589444,The Girl Next Door,R,2004-04-09 00:00:00,108,6.8,Emile Hirsch,180214,David Wagner,2004,0,-0.41642224,-40
3977,37000000,Revolution Studios,USA,Keenen Ivory Wayans,Comedy,70831760,White Chicks,PG-13,2004-06-23 00:00:00,109,5.5,Marlon Wayans,107599,Keenen Ivory Wayans,2004,1,0.9143718918918919,90
3978,5000000,Filmax Group,Spain,Brad Anderson,Drama,1082715,The Machinist,R,2004-12-03 00:00:00,101,7.7,Christian Bale,304458,Scott Kosar,2004,0,-0.783457,-80
3979,6500000,Bob Yari Productions,USA,Paul Haggis,Crime,54580300,Crash,R,2005-05-06 00:00:00,112,7.8,Don Cheadle,379156,Paul Haggis,2004,1,7.396969230769231,740
3980,400000,Fox Searchlight Pictures,USA,Jared Hess,Comedy,44540956,Napoleon Dynamite,PG,2004-08-27 00:00:00,96,6.9,Jon Heder,171007,Jared Hess,2004,1,110.35239,11040
3982,30000000,Warner Bros.,USA,Clint Eastwood,Drama,100492203,Million Dollar Baby,PG-13,2005-01-28 00:00:00,132,8.1,Hilary Swank,528910,Paul Haggis,2004,1,2.3497401,229
3983,13000000,BenderSpink,USA,Eric Bress,Sci-Fi,57938693,The Butterfly Effect,R,2004-01-23 00:00:00,113,7.7,Ashton Kutcher,387284,J. Mackye Gruber,2004,1,3.4568225384615383,350
3984,12000000,Rogue Pictures,Romania,Don Mancini,Comedy,17083732,Chucky 5: El Hijo de Chucky,R,2004-11-12 00:00:00,87,4.9,Jennifer Tilly,31029,Don Mancini,2004,1,0.42364433333333334,40
3986,26000000,Strike Entertainment,USA,Zack Snyder,Action,59020957,Dawn of the Dead,R,2004-03-19 00:00:00,101,7.3,Sarah Polley,206262,George A. Romero,2004,1,1.2700368076923076,130
3987,30000000,Icon Productions,USA,Mel Gibson,Drama,370782930,The Passion of the Christ,R,2004-02-25 00:00:00,127,7.2,Jim Caviezel,189031,Benedict Fitzgerald,2004,1,11.359431,1140
3988,50000000,Touchstone Pictures,USA,Wes Anderson,Adventure,24006726,The Life Aquatic with Steve Zissou,R,2004-12-25 00:00:00,119,7.3,Bill Murray,151463,Wes Anderson,2004,0,-0.51986548,-50
3989,27000000,Columbia Pictures,USA,Mike Nichols,Drama,33987757,Closer,R,2004-12-03 00:00:00,104,7.3,Natalie Portman,177735,Patrick Marber,2004,1,0.2588058148148148,30
3990,24000000,Buena Vista Home Entertainment,Japan,Hayao Miyazaki,Animation,4711096,Howl's Moving Castle,PG,2005-06-17 00:00:00,119,8.2,Chieko Baishô,242412,Hayao Miyazaki,2004,0,-0.8037043333333334,-80
3991,110000000,Forward Pass,Germany,Martin Scorsese,Biography,102608827,El aviador,PG-13,2004-12-25 00:00:00,170,7.5,Leonardo DiCaprio,284387,John Logan,2004,0,-0.06719248181818181,-10
3992,20000000,Twentieth Century Fox Film Corporation,USA,Rawson Marshall Thurber,Comedy,114326736,Dodgeball: A True Underdog Story,PG-13,2004-06-18 00:00:00,92,6.7,Ben Stiller,198343,Rawson Marshall Thurber,2004,1,4.7163368,470
3993,120000000,Touchstone Pictures,USA,Antoine Fuqua,Action,51882244,King Arthur,PG-13,2004-07-07 00:00:00,126,6.3,Clive Owen,144158,David Franzoni,2004,0,-0.5676479666666666,-60
3994,140000000,Paramount Pictures,USA,Brad Silberling,Adventure,118627117,A Series of Unfortunate Events,PG,2004-12-17 00:00:00,108,6.8,Jim Carrey,172422,Robert Gordon,2004,0,-0.15266345,-20
3995,37000000,Revolution Studios,USA,Gary Winick,Comedy,57231747,13 Going on 30,PG-13,2004-04-23 00:00:00,98,6.1,Jennifer Garner,132486,Josh Goldsmith,2004,1,0.546803972972973,50
3996,25000000,Miramax,USA,Marc Forster,Biography,51680613,Finding Neverland,PG,2004-12-17 00:00:00,106,7.7,Johnny Depp,182038,Allan Knee,2004,1,1.06722452,110
3997,200000000,Columbia Pictures Corporation,USA,Sam Raimi,Action,373585825,Spider-Man 2,PG-13,2004-06-30 00:00:00,127,7.3,Tobey Maguire,451467,Stan Lee,2004,1,0.867929125,90
3998,65000000,Paramount Pictures,USA,Michael Mann,Crime,101005703,Collateral,R,2004-08-06 00:00:00,115,7.6,Tom Cruise,312190,Stuart Beattie,2004,1,0.5539338923076923,60
3999,120000000,Twentieth Century Fox Film Corporation,USA,Alex Proyas,Action,144801023,"I, Robot",PG-13,2004-07-16 00:00:00,115,7.1,Will Smith,423244,Jeff Vintar,2004,1,0.20667519166666667,20
4000,75000000,Universal Pictures,USA,Paul Greengrass,Action,176241941,The Bourne Supremacy,PG-13,2004-07-23 00:00:00,108,7.8,Matt Damon,379648,Robert Ludlum,2004,1,1.3498925466666667,130
4001,150000000,DreamWorks,USA,Andrew Adamson,Animation,436471036,Shrek 2,PG,2004-05-19 00:00:00,93,7.2,Mike Myers,342666,William Steig,2004,1,1.9098069066666667,190
4002,70000000,Fox 2000 Pictures,USA,Tony Scott,Action,77911774,Man on Fire,R,2004-04-23 00:00:00,146,7.7,Denzel Washington,285049,A.J. Quinnell,2004,1,0.11302534285714286,10
4003,155000000,Warner Bros.,Germany,Oliver Stone,Action,34297191,Alexander,R,2004-11-24 00:00:00,175,5.5,Colin Farrell,146107,Oliver Stone,2004,0,-0.7787278,-80
4004,105000000,Universal Pictures,USA,David Twohy,Action,57761012,The Chronicles of Riddick,PG-13,2004-06-11 00:00:00,119,6.7,Vin Diesel,193580,Jim Wheat,2004,0,-0.4498951238095238,-40
4005,20000000,Warner Bros.,USA,Mark Rosman,Comedy,51438175,A Cinderella Story,PG,2004-07-16 00:00:00,95,5.9,Hilary Duff,68595,Leigh Dunlap,2004,1,1.57190875,160
4006,60000000,DreamWorks,USA,Steven Spielberg,Comedy,77872883,The Terminal,PG-13,2004-06-18 00:00:00,128,7.3,Tom Hanks,330983,Andrew Niccol,2004,1,0.29788138333333336,30
4007,12000000,Fox Searchlight Pictures,USA,Alexander Payne,Comedy,71503593,Sideways,R,2005-01-21 00:00:00,126,7.5,Paul Giamatti,158415,Rex Pickett,2004,1,4.95863275,500
4008,75000000,Columbia Pictures Corporation,USA,Peter Segal,Comedy,120908074,50 First Dates,PG-13,2004-02-13 00:00:00,99,6.8,Adam Sandler,283647,George Wing,2004,1,0.6121076533333333,60
4010,26000000,DreamWorks,USA,Adam McKay,Comedy,85288303,Anchorman: The Legend of Ron Burgundy,PG-13,2004-07-09 00:00:00,94,7.2,Will Ferrell,286238,Will Ferrell,2004,1,2.280319346153846,229
4011,60000000,Twentieth Century Fox Film Corporation,USA,Paul W.S. Anderson,Action,80282231,AVP: Alien vs. Predator,PG-13,2004-08-13 00:00:00,101,5.6,Sanaa Lathan,157399,Dan O'Bannon,2004,1,0.3380371833333333,30
4012,100000000,Walt Disney Pictures,USA,Jon Turteltaub,Action,173008894,National Treasure,PG,2004-11-19 00:00:00,131,6.9,Nicolas Cage,268591,Jim Kouf,2004,1,0.73008894,70
4013,40000000,Walt Disney Pictures,USA,Garry Marshall,Comedy,95170481,The Princess Diaries 2: Royal Engagement,G,2004-08-11 00:00:00,113,5.7,Anne Hathaway,59819,Meg Cabot,2004,1,1.379262025,140
4014,65000000,New Line Cinema,USA,David S. Goyer,Action,52411906,Blade: Trinity,R,2004-12-08 00:00:00,113,5.9,Wesley Snipes,143476,David S. Goyer,2004,0,-0.19366298461538461,-20
4015,30000000,Universal Pictures,Germany,Peter Berg,Action,61188085,Juego de viernes por la noche,PG-13,2004-10-08 00:00:00,118,7.3,Billy Bob Thornton,50432,Buzz Bissinger,2004,1,1.0396028333333334,100
4016,110000000,Warner Bros.,USA,Steven Soderbergh,Crime,125544280,Ocean's Twelve,PG-13,2004-12-10 00:00:00,125,6.5,George Clooney,305800,George Nolfi,2004,1,0.14131163636363636,10
4017,42000000,Universal Pictures,USA,John Hamburg,Comedy,88097164,Along Came Polly,PG-13,2004-01-16 00:00:00,90,5.9,Ben Stiller,111747,John Hamburg,2004,1,1.0975515238095237,110
4018,25000000,Lions Gate Films,USA,Guy Ferland,Drama,14161590,Dirty Dancing: Havana Nights,PG-13,2004-02-27 00:00:00,86,6.0,Diego Luna,23521,Kate Gunzinger,2004,0,-0.4335364,-40
4019,7000,ERBP,USA,Shane Carruth,Drama,424760,Primer,PG-13,2005-05-27 00:00:00,77,6.9,Shane Carruth,81468,Shane Carruth,2004,1,59.68,5970
4020,9000000,Endgame Entertainment,USA,Danny Leiner,Adventure,18225165,Harold & Kumar Go to White Castle,R,2004-07-30 00:00:00,88,7.1,John Cho,163200,Jon Hurwitz,2004,1,1.0250183333333334,100
4021,30000000,Paramount Pictures,USA,Trey Parker,Action,32774834,Team America: World Police,R,2004-10-15 00:00:00,98,7.2,Trey Parker,142880,Trey Parker,2004,1,0.09249446666666666,10
4022,35000000,Miramax,USA,Tommy O'Haver,Comedy,22918387,Ella Enchanted,PG,2004-04-09 00:00:00,96,6.3,Anne Hathaway,51752,Laurie Craig,2004,0,-0.34518894285714286,-30
4023,2500000,Camelot Pictures,USA,Zach Braff,Comedy,26782316,Garden State,R,2004-08-20 00:00:00,102,7.5,Zach Braff,194118,Zach Braff,2004,1,9.7129264,969
4024,90000000,Paramount Pictures,USA,Frank Oz,Comedy,59484742,The Stepford Wives,PG-13,2004-06-11 00:00:00,93,5.2,Nicole Kidman,52194,Ira Levin,2004,0,-0.3390584222222222,-30
4025,10000000,Metro-Goldwyn-Mayer (MGM),USA,Joe Nussbaum,Comedy,9436390,Sleepover,PG,2004-07-09 00:00:00,89,5.3,Alexa PenaVega,13433,Elisa Bell,2004,0,-0.056361,-10
4026,10000000,Columbia Pictures,USA,Takashi Shimizu,Horror,110359362,The Grudge,PG-13,2004-10-22 00:00:00,91,5.9,Sarah Michelle Gellar,123089,Stephen Susco,2004,1,10.0359362,1000
4027,15000000,Walt Disney Pictures,Germany,Sara Sugarman,Comedy,29331068,Confessions of a Teenage Drama Queen,PG,2004-02-20 00:00:00,89,4.6,Lindsay Lohan,24586,Dyan Sheldon,2004,1,0.9554045333333333,100
4028,165000000,Castle Rock Entertainment,USA,Robert Zemeckis,Animation,183373735,The Polar Express,G,2004-11-10 00:00:00,100,6.6,Tom Hanks,134170,Chris Van Allsburg,2004,1,0.1113559696969697,10
4029,45000000,Davis Films / Impact Pictures,Germany,Alexander Witt,Action,51201453,Resident Evil: Apocalypse,R,2004-09-10 00:00:00,94,6.2,Milla Jovovich,164937,Paul W.S. Anderson,2004,1,0.13781006666666668,10
4030,2700000,Warner Independent Pictures (WIP),USA,Richard Linklater,Drama,5792822,Before Sunset,R,2004-07-30 00:00:00,80,8.0,Ethan Hawke,183175,Richard Linklater,2004,1,1.1454896296296295,110
4031,17500000,United Artists,UK,Terry George,Biography,23472900,Hotel Rwanda,PG-13,2005-02-04 00:00:00,121,8.1,Don Cheadle,286561,Keir Pearson,2004,1,0.3413085714285714,30
4032,40000000,Grand Slam Productions,USA,David Koepp,Mystery,48022900,Secret Window,PG-13,2004-03-12 00:00:00,96,6.6,Johnny Depp,157858,Stephen King,2004,1,0.2005725,20
4033,80000000,Universal Pictures,USA,Jay Roach,Comedy,279261160,Meet the Fockers,PG-13,2004-12-22 00:00:00,115,6.3,Ben Stiller,223589,Greg Glienna,2004,1,2.4907645,250
4034,80000000,Paramount Pictures,USA,Jonathan Demme,Drama,65955630,The Manchurian Candidate,R,2004-07-30 00:00:00,129,6.6,Denzel Washington,91522,Richard Condon,2004,0,-0.175554625,-20
4035,75000000,DreamWorks Animation,USA,Bibo Bergeron,Animation,160861908,Shark Tale,PG,2004-10-01 00:00:00,90,6.0,Will Smith,142203,Michael J. Wilson,2004,1,1.14482544,110
4036,45000000,Warner Bros.,USA,D.J. Caruso,Crime,32682342,Taking Lives,R,2004-03-19 00:00:00,103,6.2,Angelina Jolie,69195,Michael Pye,2004,0,-0.27372573333333333,-30
4037,100000000,Warner Bros.,USA,Pitof,Action,40202379,Catwoman,PG-13,2004-07-23 00:00:00,104,3.3,Halle Berry,93348,Bob Kane,2004,0,-0.59797621,-60
4038,20000000,Columbia Pictures Film Production Asia,Hong Kong,Stephen Chow,Action,17108591,Kung Fu Hustle,R,2005-04-22 00:00:00,99,7.8,Stephen Chow,106883,Stephen Chow,2004,0,-0.14457045,-10
4039,35000000,Touchstone Pictures,USA,Ethan Coen,Comedy,39799191,The Ladykillers,R,2004-03-26 00:00:00,104,6.2,Tom Hanks,88680,Joel Coen,2004,1,0.13711974285714285,10
4040,56000000,Metro-Goldwyn-Mayer (MGM),USA,Kevin Bray,Action,45860039,Walking Tall,PG-13,2004-04-02 00:00:00,86,6.2,Dwayne Johnson,57133,Mort Briskin,2004,0,-0.18107073214285715,-20
4041,80000000,Warner Bros.,USA,Raja Gosnell,Animation,84216833,Scooby-Doo 2: Monsters Unleashed,PG,2004-03-26 00:00:00,93,5.0,Freddie Prinze Jr.,36847,William Hanna,2004,1,0.0527104125,10
4042,80000000,Columbia Pictures Corporation,USA,James L. Brooks,Comedy,42044321,Spanglish,PG-13,2004-12-17 00:00:00,131,6.4,Adam Sandler,69272,James L. Brooks,2004,0,-0.4744459875,-50
4043,70000000,Paramount Pictures,USA,Kerry Conran,Action,37760080,Sky Captain and the World of Tomorrow,PG,2004-09-17 00:00:00,106,6.1,Gwyneth Paltrow,75399,Kerry Conran,2004,0,-0.4605702857142857,-50
4044,110000000,Walden Media,USA,Frank Coraci,Action,24008137,Around the World in 80 Days,PG,2004-06-16 00:00:00,120,5.8,Jackie Chan,73536,Jules Verne,2004,0,-0.7817442090909091,-80
4045,30000000,Paramount Pictures,USA,Stephen Hillenburg,Animation,85417988,The SpongeBob SquarePants Movie,PG,2004-11-19 00:00:00,87,7.0,Jeffrey Tambor,64107,Stephen Hillenburg,2004,1,1.8472662666666666,180
4046,28000000,Pop Pop Productions,Canada,Gavin O'Connor,Biography,64378093,Miracle,PG,2004-02-06 00:00:00,135,7.5,Kurt Russell,39178,Eric Guggenheim,2004,1,1.2992176071428572,130
4047,40000000,Universal Pictures,USA,Taylor Hackford,Biography,75331600,Ray,PG-13,2004-10-29 00:00:00,152,7.7,Jamie Foxx,118242,Taylor Hackford,2004,1,0.88329,90
